order_id,product_id,seller_id,price,shipping_charges
9G9EHbafs7NW,lkPBqpnGNyKe,O04i82YS0uAJ,165.0,9.45
INolFarYfmEO,saFIRNuu8V6H,qeM9i4J3ypy2,100.0,6.79
LV0vJIDricq1,uicu7Mpz6xlZ,V3iKL8r9W9NR,127.77,38.66
VtQvdStc00Xd,uCnShK796Rpb,OkFthMYQJf3H,692.0,11.36
tOTdnjpI8Udp,tRV6VjdwdLAm,fBHtndjqwueV,295.0,110.14
ebR5efLCCpiq,Hwaj6cncrjwO,9fFFM6RBxCkT,186.98,17.44
YOKYMSjKRCMN,YgnBaIterOVh,FRAkUwkY4tZy,113.49,50.82
57XZHymoJ10l,SLTlrWtcYt1m,r7VxefoTVHbb,692.0,2.75
yUz40ih0jYGt,yZJweQSasMAW,yfNN6zuwypOw,17.6,68.69
IeZYtitws7WU,kgF2KLJ8Ao3M,3Q4DoxWsVAXa,37.84,56.27
ZPkh9QhjG7SK,8kUYWjdaVCxf,oI8R7WsNWWBc,50.21,161.82
KJL5uJuZzKxr,QzAC1fDWMbmk,ShJbjTW0ZGor,26.68,29.56
SelY2hgVvruM,R2u3pJSgF7Gr,OnC6iPAbNc8Z,59.88,37.93
0QqNX4xLriht,lSVmLWTOmgtw,rFT13UJuGo0Q,28.69,57.11
HNXQI2lmI4AR,bDhxHlkU0GeF,sdO4rR2udeZV,676.97,39.12
C21fWds5zL0W,MeFPAUcWfyAo,5Ja2lH0N2OZt,68.99,27.8
00NEIdaOTIgn,Mh5csf65CB6I,UOGIrJtSldvd,223.87,31.01
XprtHqpLEddw,hfEa3c65LTA2,0Mzbc3aACMOQ,55.83,3.45
ph9ImXx6aMjl,Pb29t2XBfP6Q,2a07LobkzHUx,176.97,35.87
x0fzGpICAZ0w,th6S1t44GAij,B025lNndXwWx,231.27,82.44
YUX432Je58GK,fUSMr8Wo77AI,l1pYW6GBnPMr,820.05,133.37
C3u0OwYQ8nuP,qI5i1mUxo5tX,EGpv4plsYpt1,3.5,2.46
UaZKqhLFwRZP,AQRgJU930yvK,TAkMUTMwlNUw,26.86,140.4
QOaNjVewOOTX,VCOwCoc0C3aj,BUqNP64b1AeL,111.27,49.55
lo8oje94TYb7,f21OMkeWX2ZC,ozjiHoSKwUks,79.49,51.91
O5bLel2qV1yT,mKDM0qdFnNNd,xbr8ZnHWrWgb,189.98,36.97
3ffaVBUrnCxy,aZ1aneUqyncU,XLxN4hdOlYco,475.0,50.28
8g4jF6hPD6tG,ch26pynh9FL6,AHG0TE6bRNNY,31.77,23.6
IBT786JmVIAa,eTlPil30tvIn,3cqSxyYyqpx6,188.8,22.11
Rd6Tke4v8afv,DXG0TFaZjGHO,V8Stg8HdXCTe,403.9,49.72
NnoGZNF5rNkD,htOWZMHmysDe,9OW1ODEpHxLL,125.46,13.81
gZMKyNzWXvcQ,GJ4e2xEfaCmh,oI8R7WsNWWBc,31.0,5.59
qcDbJ8F0FIjM,EZlH1lJVfFqj,CQsufpmy1WxU,1332.5,6.58
hyJjgFRI44lc,zTW2bowvLdj9,zyhKQqd3kGqW,129.46,6.87
EfyYNfniuxQP,VO111AOA1QIP,ElULPWS11hxk,161.0,47.55
0MQGlO2eQrNG,mfq8n5MEY4eP,XoReeOEjvEuw,770.0,67.11
zb8Qfa2K9ynp,TdryLJINHQ9O,dQCmV6mcOXGX,109.82,55.54
LLWFihCYlP6a,B2udqVNGe7sU,AHG0TE6bRNNY,148.5,27.36
PBvPGqQxwFDV,IsLB3oNMsX7k,K0qPVGdA91KO,31.99,38.26
OQHE8Ve7n811,7IfEqKdKlG9j,16pMg4KJ3hIj,87.9,47.55
Vtkwb0b4JxKg,YG7qG1MQlhjp,3t74Pe6EQyNu,206.57,29.68
4qLswBjaDZnT,nS95HUh6SK36,2a07LobkzHUx,98.62,54.64
XXzZNogGt47r,cT3PvVNqyIpQ,vmUdCiLPoz75,1122.0,20.79
Pp9bMvTIgPDs,hoBYqNvOyd5V,lAnSOSAjk3Uz,368.9,63.39
zh6skhlWLDTv,2oRZ0O0Cvxg1,cjilIa8d2RUG,10.6,50.43
z9Zr742C0ASe,UjLE7WsWfgrO,Fh5z5uvA4neX,218.98,6.87
AayA35wXEdbB,nvbYOXncMsv0,uhfmBPCbZg6B,139.79,47.82
kuyUMcYHFGqn,5WcLgWtO04vH,ruq0u2ZpAMDr,403.9,15.77
efc3TQanhsCE,jyqvHPkDKFDV,DHOPtCppeECW,41.1,47.55
vFUriN4pz2Bi,4BAZNq7FQZOV,oqejBC0typqo,198.5,76.76
1CVQ66HlMRUR,G16XPtJuiBOe,nOpV5DDruGvj,17.91,32.34
jJgDALmwe6f6,tfJojxEnA32p,ZsDn106jXrgr,8.8,70.17
n8p0M8Vco4SQ,5hqQbR7p5r2D,oGYw3FCx0i23,43.21,121.95
pNSYSUcXxkhB,97fSQlZJl4P8,n3xQr5wHpHRX,24.79,13.92
9AWAHq3HWS6u,mwlDII1pL31s,p7zV0UTQOu6w,184.9,52.37
DlmtCXqKjfWj,N9wgqW59QGza,vxQT8FlJeDdN,80.75,12.86
KqH0sXMHdItQ,n3QjhUa3JbkT,TJ6FVACdM0WN,509.0,30.66
OiIetUyiPLHG,fJOMyLSpholI,ruq0u2ZpAMDr,127.77,37.87
1pgvtCG93rNg,DMB6KqQisnZE,aeWbd3M28ShO,148.5,67.48
qJHIiWyTAizV,0vbEvli2JYJu,RKad98cTxhSb,95.03,57.81
vSug5AqRo9gE,xl7fxh09W8xU,HQ4j3Fr6B61e,310.99,63.17
cuAQQZUhTEwb,bumRSmIPLuYa,kiirS0of7bJI,513.99,46.67
yYk586LcCRYw,Hh61P9XhdxJT,zhKBSmYNDuJd,21.74,8.31
2HQ26ShSPhCA,jcZ2MOqKsGsh,60CZvBJuXsud,136.9,24.78
iWJeaLiduq7C,OEoHcaKHbdiB,SdNJoEI8fcgb,168.1,31.97
1vz8w7BjKsWC,Ggd3U51peXoq,8cMMpAAFEsxE,15.89,50.28
h8KEpd8n4gLL,etUc3o0rjL6e,qeM9i4J3ypy2,849.5,139.18
PC71lF6z451l,lFGT2p3CDtxY,luzDO2kXE6wp,49.97,38.82
TySAT9hqufKc,daiqbsoofbQ7,EZcvC15JiPPz,98.6,12.28
Y72RuFd0mZnO,dAz11YkQkoue,TuPm19CMKvrM,59.21,32.34
JQnDQBQZYwWs,KocIrz6J906g,OOPkZSte8kf6,223.51,67.53
qcXjhr3DZYmI,xj8TsBOfCz2Q,DAXcLJj7W7BQ,453.7,47.55
3SQKKPbTrStx,LEtlZnZPgiXx,3jwvL6ihC45G,24.1,32.34
IKSlI8m4cXvg,dtkkSAYxncfA,dwcf0d2KopFX,42.95,12.28
ubzoVELLkeoU,WLCpnwy0jsjj,K0qPVGdA91KO,475.6,17.03
FfjA9YfQ045p,qjquOwfUstem,ErNdnCxofJMU,145.69,61.32
pHtHYRoip8Cl,gdZxFB7RkmeM,wieAWPlzjuX4,699.9,47.55
yGQcdep9edOe,RO8Eso0VLlkB,CdW7Qr5M6GEr,274.49,29.34
O2vxSz1Ohmit,GvBzGCvvIC2D,v4i9GZGfxgTZ,679.0,29.06
CEHnEFl5VOdj,BuMA9g0RCLlr,TBkUw9PKrND5,78.8,20.25
JYzOn3Ha1rNQ,K9inDFpRP1Y5,nQlmkVGs3xYh,28.82,63.11
YjpdVhpi6ke5,sZPDopwjwXU1,T5TAziawiIyq,2799.65,56.27
xmCgQrZviQ4N,PNxV7rsy2fgg,73jr4z4JJLzT,509.99,17.39
DWf9VC5hYd07,XtWT6gLIlj7Q,2IxTbqKqgUdA,43.48,99.34
gMRkjz3CrUnd,Mb037GbMfoRI,V3iKL8r9W9NR,34.72,67.11
1sBsJeYdxAI1,LP9yzvAzxDXy,hmS6KkvxMbyF,399.2,38.66
6NKIoWu3AOZS,KDNXKv9s2evT,A7s2wiNKJ3HW,16.89,21.91
fQ58lYglAHz2,axLBYi1XjP6J,oI8R7WsNWWBc,50.21,5.59
0Eab4qSWCSyh,YWxNxMu4wOKG,YVBAT3QqF9Qj,13.1,19.16
RCsCygUAyk50,bdZMcl4443hh,nyvgAgymNBCt,328.0,161.82
POj27FIujdqj,Djdj2b2qMgNy,OnC6iPAbNc8Z,335.99,7.42
lTxzZyJHvbIZ,4VIws8ixtz0J,8cMMpAAFEsxE,144.97,47.55
PbW1A2IELHIL,63xWgMAWpCUv,evGTHuQm4wMZ,31.5,24.99
RYBegQzM81NV,5zjlm4wGGKnH,ItYhqrkUww7D,57.6,77.45
uIMjdIbbLKuf,ZXaWnDtFtm16,QfFj9NCYpfLN,31.0,150.8
jj4qFCWCsUSC,iqxjLw041Ngo,KERtsZxD9Phy,1298.99,30.66
JBctb1NlmsLO,77YHWauoWSee,oqejBC0typqo,27.8,31.18
V98wyh8HaJrC,u7VrCV0J3rFD,bd8RhBYu7arp,16.2,0.61
F7SlozxlB98i,i8rOWNVCU8SG,X5fhqRmuvQ9Z,579.75,48.82
M9UeVfUqd5IQ,s284eb92Zw1i,UmQttOWjmUMt,95.03,125.84
XfRzUdQ4vXDb,GrFFq2mwLHY2,vufOqLeaCfeU,38.48,32.34
KZdbnccspG6C,CdlzSJX6L7SM,V3iKL8r9W9NR,127.77,42.05
aK8BUDSAUnAJ,M6dHMMDQkzl9,pgzEZp7qYHHI,34.0,58.28
hdpKYesvGZeq,HsY2B64ToEjd,qc8HaReZKfQJ,54.16,38.82
5jALvFXzAkdi,8EMcxO7AFhVP,vlLUp3U56e8x,150.82,24.81
RilBPuEjhaeQ,vTrdy4RV0PS5,R7nUkxgwW9FO,114.89,132.15
Weun8cqlOfrB,Fn43rroPPaVv,JZPhFrxpqDgz,60.09,80.34
1By8LOosrvF2,IiPypLNFQJ7z,BiC0o6ItMJLl,66.96,104.16
8XJCljLJRlic,HhAtKukEU7VT,UOGIrJtSldvd,104.4,126.47
gQPaVIZUm0jj,KnGbtqqEcmat,yHsOFiqVrV1u,42.89,47.55
k2K9LcU3wvcQ,wEXYeIBMtNpz,7qJpsaaCZOk2,160.75,52.93
XQuhwBeGcadT,eJ0WKujR01gm,Cyl6PGvB25KG,56.89,7.54
LARRQkCjz5Fs,JyBhiUYADnbo,V8Stg8HdXCTe,395.6,32.34
70G4cTVwm38h,lpU3XJCPa54J,nt1w9AssyxfU,78.73,34.24
8LfYKHvDTqIN,k1G4RHt3R7Nk,K0qPVGdA91KO,1589.0,32.95
D2X7rxN9EsBw,hXJzBtpOKuuU,DhnYfWO3PJ5F,40.8,18.46
HOFJukOFU41j,Vb1H62ttvRIQ,9T57uT5NnFAO,123.49,17.5
uApWp6b4k8Y5,1zUdSj6NFG6K,UOGIrJtSldvd,24.79,12.86
7L8qUUgsbhXY,5OJOlHuoPBnC,l7dKfvHZDuWA,188.8,51.05
PvRgo7CeEN4f,Joe8cEWyRSL5,EqPcJSwcfSMn,42.15,46.4
aDxB5SgA7C4q,vkx2x9k5aIEp,yHsOFiqVrV1u,34.0,3.24
AHI2VGgmwKwA,PdQSW0L6zcA8,JewlcaWRwb2n,116.11,27.57
0gxtU32XLhDR,t3Yt7rB0Siv5,0pPOelafmUDD,349.9,2.58
NqkFWmoEkOni,6qDx55OCUjhU,uWD9LoTnGKSE,475.0,42.92
uT2NLXe4uIbX,Mc3HVfMW32MH,DAXcLJj7W7BQ,36.5,47.55
csNKQHT4LjSP,h2L3kgHs7Aaa,XePbD5Ocm6Yk,22.3,15.81
ff6LV2J7cd1m,dshaRMcCMDlF,IfkTaAAVww4a,97.44,10.85
2DhVqmEuKWsy,kYkawOSYkfjo,3FRwW3adXzn7,517.65,25.28
VBLoTukvL7qH,IygrTULmkPjL,3FRwW3adXzn7,2799.65,127.41
Xz9xN4y9ehaz,Y6z2ccr6ILTJ,g6AdzghqF6DD,40.5,41.85
ME2UeeIZeHQQ,CIzjmmwLZi9E,XbKPeGD7lJ5P,41.58,12.22
Y8qzXFVs2NdT,0GII09WWgwUY,Cyl6PGvB25KG,132.9,60.07
O9usX12ihwJ4,UGsLZX3s5mEt,Fh5z5uvA4neX,41.7,17.38
UnPOaR1OCnNc,W0BmO3Zth0WP,2jTASjIU2rIf,265.9,67.11
BERp5cg4oEws,m2BXGAfmaOtK,k6Ksam5fmXKf,28.82,23.17
BtFtgxewQU3o,HheG19aBYVwJ,yGbPyLPc8PmT,1899.0,12.28
KZQpsmctCSfS,oszo5WkcF9hR,EhsTzampIuzr,1129.34,16.36
g9qI3z1YAvNw,d0gLt5qG6suy,WPmASwhpqDlG,453.7,150.8
aMzeNC1KCVOQ,ocSuycYd5FzD,NFarHrNhIIbP,367.0,14.65
dZuZBawSN57o,UtRbLGZqWe6T,Hvqvzx84Y4bC,199.96,35.85
nKbHlRgVGlF3,4lnnpEh9Lojy,VJ5Szmsf2dUQ,1129.34,44.33
P09ArFA0BZRP,1Shu25hw8jmU,eOhcPgdVKUYw,399.2,47.55
XbYUfEsyagnN,G16XPtJuiBOe,nOpV5DDruGvj,17.91,32.34
mofZTSTPPWxE,qtlBf0tnYibE,vJf4Jmjx31y3,21.94,47.55
rUQbmLj5M2QE,2m67LSn6k958,AvTLykupHOIB,97.44,70.82
QFwMop3sFZ9H,gkFvRSioMfLT,zPSCpHFnSfys,126.69,20.9
hYDthrOpadOc,qAJdy2rvA6Nv,KH9VVC2iPaCb,42.89,47.55
TTBF9yOgN5EH,6iped3gcNaVR,CmIOujRnGWTM,729.99,70.34
F9i3hpJUc5HJ,vBG3fdRC0U7J,nQlmkVGs3xYh,395.6,11.33
PzBniksLzOcM,6gc28NXmxjiC,DQDmbEDffCF1,27.64,61.32
UWss0GYyCTJq,Sd2c5zg8xeYS,V5WynwQkZECV,303.45,42.76
9fJpRKgzGYmY,TznsJjXJH6cK,i4BuPduAnCgp,128.99,75.5
FyxzH1mhMBKM,aj4kbcxNEnZj,K0qPVGdA91KO,178.0,96.55
91fTReRt3k2s,yC8GTlBDlTbh,RKad98cTxhSb,46.2,6.87
4BKIy9ysy6d8,x3MYuCDmKXil,3vJjXqgh2x7U,1122.0,29.36
EztPEldn1Aha,PNlm9wyElFNa,RKad98cTxhSb,193.25,68.39
4WCFUeAivvDG,U12L66pFn1Cd,ruq0u2ZpAMDr,128.99,12.59
3VPXNauA1hA6,T02sruZBYwTh,AvTLykupHOIB,97.44,30.66
jMFLFVfabNrH,tB2oGrkUn3T5,b2InQWWq6Kwc,128.99,66.44
PhYGGGCiQHKD,nTdYWC9EsMzL,YlP5976VHgAM,145.95,12.28
RNy2CkQv9QO4,SLTlrWtcYt1m,r7VxefoTVHbb,4099.99,41.41
RAhrqqxcXgA5,GvBzGCvvIC2D,v4i9GZGfxgTZ,777.0,23.17
lFLPAbeUgKTV,tyfmRC7KLE75,kJEFisr2CqPX,23.1,31.04
P6bxg4N8Cw1J,frPceaQ1oVol,2a51UHcJkdrn,836.99,70.34
YykeWYFjVZYE,SGzn0iArTwMr,pgzEZp7qYHHI,517.65,47.81
dHuy4so1fO7s,9Zkcb7CHJ7oF,HPuxRyj1uNUP,517.65,38.18
bIVFvWVIw4jq,QQh3add5yA42,8cMMpAAFEsxE,97.07,13.25
tflNP98YJXRM,Y3eayqO8aOXQ,ruq0u2ZpAMDr,150.82,29.31
iThcgEagJGvM,Frot5FLjBR6q,SgeUigb5Vbiv,122.3,29.21
MnaiNSJ6870y,Q4YJxJB0FmME,nVtBfuY353m5,755.99,31.1
pvWUa3UvgInr,nleYDnRljyRR,hJJrlnX2dOy7,403.9,25.29
39TPZFziHhP2,ZahOFsDsu0qC,EfrTKO2PD11W,113.49,17.07
afDRwL1WXpA1,a4eRSJHIpAKf,AvTLykupHOIB,97.05,30.66
QBEax8koxs19,xczz8pBAGbiX,7nCOghlVSEPV,399.2,20.9
CtAfWF8UkMCP,yNiC4LvaTd1R,xeWVu6d99qTQ,164.98,54.99
V4JFkZwCu5hF,sDiRdnCZMwRY,cUn7dujqBetE,564.99,38.66
qwPG85b508Td,Hqi3PlXungqO,CJEiRDPhUtti,190.06,15.18
pLnMJMmel09E,nPKBktJfW1Fl,f9tu6ULae8aj,399.2,47.55
7PvMPzzIkey5,PwoiOjyJfSJK,ruq0u2ZpAMDr,403.9,30.24
yWHy7JXGvc0Z,EsjZXaqqL5SG,oGYw3FCx0i23,389.89,15.67
GKjyAxdPwdIc,pIsDRb4xbzyD,GwHrbZ3UqSSL,72.4,82.01
SZIajujwn1Oo,YwgHNvscHjW0,mFvZj7UmZKhl,300.0,34.71
KL9BlcRxTqHu,i10BtlKMkpvy,7KovPWNcMm5O,29.01,41.73
PULq31I4UKo4,JWWerUz4sUOi,TKLLXSshsm0b,269.45,46.26
Y0bGpsoT1Vhh,8IhgV2nH9kXE,HaUIinFOemaU,17.95,33.25
7LgpFGaazYyl,RIeB1nlwkWYV,TS138RFieWKn,459.0,21.29
88cwXsdwdeEH,S5shnnygPs0S,ZNVgXvCvMqkS,257.6,61.32
r7702612Pdfh,GntEBdL0e4AR,wHLrHzu1U5IX,170.7,9.54
JhSAOXXtYcdN,8o27iVPsjrvn,zgxmymXtWiKO,98.6,59.0
lq2t00ICp3Em,sZ5wMb8HMu6M,I4ffj2osK42R,257.6,34.33
6nNyBTWOOOFA,KbN9lsh9uJef,QZGYZHmzukoV,12.02,47.55
15IH5WU11wIZ,pG4lRZB6FT1o,9fFFM6RBxCkT,18.38,18.88
ouRLjr6NSysJ,6kzsO3fAg0UT,2jTASjIU2rIf,75.25,12.0
yDLykPwUGtqM,Ffe8gTdmyO3U,4cJY064rRFhL,107.63,31.94
GHfebQ8QpH8l,uXqtt8FPcOSE,FhUPbC0FEzRW,155.4,11.84
7XvMI5cx5mU0,PWl2yBtu82h0,TuPm19CMKvrM,117.56,61.32
XDE3dFQJPztt,P7YmM1JrfxgO,eV7Woul7454D,149.91,39.61
dix4hRLqxcfL,MnU1humwDAEV,ruq0u2ZpAMDr,142.14,19.02
4W3f1ahNdmTs,ij9mTh09IZhj,2a07LobkzHUx,86.4,16.78
xljf54RoX9JP,IxSYqX7LMxEm,XPkCncVxF7So,132.7,94.09
2rs8IUIAS4rL,TKNiFZxm7gs7,yGbPyLPc8PmT,113.49,40.15
B8V4EaW2eSh0,fXpxCuz3DlnE,COsMF55fuZCX,68.9,33.22
FwheKtHhpBN2,VrCYTXjnNAL1,ftbUjJ6Gsazg,95.03,39.84
tPTCcbVjRfc3,VBy6T8nuWyMy,tjn9TXOjEGlU,419.9,6.87
TGt9bWN79Nqz,KOdBiBN6BdOW,xbr8ZnHWrWgb,98.9,45.85
qJjvfYu6Y4fm,B8QmdTHBBm2r,ARNPJQjYTDDb,509.99,55.54
JT0oXIkh4Gzh,JXxZvMEQwVdy,ww2Z1B2PFAzV,475.0,47.55
yr2H21aRoD3h,GKdOuHdQrcS9,2cg7E5j1pzxq,453.7,17.38
3kStl9hl8CfT,pZaSE0Kq83mh,2a07LobkzHUx,174.47,21.69
HG9ftAgQxhF4,fF0aIgV1Szz2,cdFuckm1t0Np,1375.0,49.54
sm0ZEnWNt7qQ,Dpy0ivGUIZbf,A7s2wiNKJ3HW,49.13,70.82
KuKfiKKJLTwK,mLW3e88htVUA,RahwCaIfXjEq,18.04,38.35
0JDo7VjW8fwo,W11EKjDhLU8S,A7s2wiNKJ3HW,889.99,23.6
07amSeyheu9N,oUaq0Emczjrp,AHG0TE6bRNNY,5.99,78.84
0HR2Bu3Sp4gp,ilTOySUJeryQ,i2VPd2aaDnzs,18.04,45.95
3BfkNOSXE9fK,cPxHctjb1mwb,luzDO2kXE6wp,113.49,76.73
5WmmehR17vqk,MCpcB88Db8FO,RKad98cTxhSb,311.95,68.99
GRirh1b2z6Y3,VyvqSoUrvQ46,EqPcJSwcfSMn,57.6,64.55
67qinzyPqskj,5p34yHlx2OtC,UOGIrJtSldvd,518.18,38.63
SSIHiYAn9TpY,hqX5zybakKuo,UCE3Mf4XAd26,63.6,17.44
r6X1vpADLMvm,rpc533nr2KMl,4Qi71ZsjOJIX,125.46,37.68
FEIP98BAAYWW,SGGufQjkuu50,K0qPVGdA91KO,1589.0,32.34
qlbb5qUbmXnJ,d77sYHwrvNb6,csm5h2FrAugl,42.8,83.91
7ERc3mX6MCjK,MaltNz8KU4y1,ruq0u2ZpAMDr,538.9,178.33
Qnw2wAOmQylg,jkF9uiOYSJQv,cUn7dujqBetE,358.99,75.84
vU3xyuXEj2Ba,HClWJt2zIHqw,taFg55N5hMKg,538.9,27.26
Bie3bBbWriRw,plejCSAfHfj4,0LjmES9V5fHW,46.2,110.14
XQYgG1JMLACG,8EMcxO7AFhVP,vlLUp3U56e8x,150.82,42.38
qZUh5hge1625,uhU6v99z0kXK,4YvZWfI3A03T,887.0,25.85
hlpMgRkYTHdL,4tXRIqqJAw5t,rTKC7c3Tt984,26.77,12.64
KwUxouAIwmnW,ILJ1czl5oREZ,xaLgBgfNFMTD,107.63,26.02
Fl1jNEVLIouI,UpBx9hw8qVhN,yJ785hbwK2Jx,159.99,53.39
CbQkhuNUU3S3,8lFcvo9C9wbB,YlP5976VHgAM,820.0,61.32
tVdaOadCApSM,fdKNYBPuPnsg,luzDO2kXE6wp,355.9,42.75
G07cmuGKW2nd,hGtmCHbSVQ4G,78sV6I5nExj0,128.99,59.45
2Tdr9eDhdtIu,p8szMBFqPyIE,CutJkKSkib8L,42.89,17.52
p6iWM5qft7BH,0Rv9bIApkexA,3cqSxyYyqpx6,2498.0,37.8
oJ1LprF3qOBG,bpqNyuI195P5,5IpSxnKVJPkj,145.69,47.55
ZJ852hQOuseH,CsjdvHqLmAxc,JcRdnPnWEDp7,144.94,6.15
iHnDLespPUlT,ua99TuLWOUSc,nGUM92Z4IKz7,10.16,28.28
9LyEELGHWgoP,9d6vkyKPUKTm,ENekhljjhevR,692.0,46.76
y8qmpWJzBTA5,dAz11YkQkoue,TuPm19CMKvrM,167.0,47.55
MsJrJ9vfOmvF,mVm1INynZf3d,nKBsxjDoWKEM,89.91,6.87
ItgUvaUVS9ws,CpeCg2UGCL6P,AvTLykupHOIB,2600.0,2.46
2YWdoyxm7ge9,3hr001otfd42,5FAQ2DFjXxv9,100.0,37.9
JDsexkka1RtD,oGoQE6pH8wMX,pifcdMtycken,75.9,6.87
Hoy9CyALWGZJ,lk149m5QGyX9,ThIpLZLmtOK2,299.99,72.16
i3YWWZIz8fk7,BGJSKvvLAPkO,56DLys9ECuwq,45.83,47.55
RM4M9i8Yn5x4,qlb3txU8IQ7W,2a07LobkzHUx,849.5,27.62
1oVrUY75oStu,H9bNMpRahUKq,tNJnfkCxzhmN,215.5,20.26
YuEmUNymzcGv,GkKwbXbTsUcZ,j6ZQXHPSPppN,509.99,17.44
kF1ka6uV5YnM,KIYt8ODpiQyI,TBkUw9PKrND5,75.6,31.03
jkbVqP4aWneg,y2j8hYmi4AVK,9fFFM6RBxCkT,404.88,27.45
dxOwaxOE1nT0,n7Cpn4dSlDZn,6SEfGu8XEXxz,171.9,39.95
qwLvLVlwqlcq,tEjoHkDlwfgW,XePbD5Ocm6Yk,2139.99,3.49
ulZ0mI7peyf7,9RgMq5eVloUQ,YVBAT3QqF9Qj,319.29,15.14
lUA0GIMIbFvS,1gi8qMFFJtiv,LLty41IbV7xo,8.43,54.17
b2u1yVa2LdNK,Rtm1uWckrdIP,I1tzIpbuBorJ,239.8,86.61
na3M0MEGCGf8,C0ZV4wrnC7a9,A7s2wiNKJ3HW,264.29,25.29
vbRiAK2RZdlx,8EMcxO7AFhVP,P2nCHWuo0HC0,454.0,237.84
QHnQzNJRBS8w,BFpdkwndpvo8,RKad98cTxhSb,849.5,14.72
ZHsymoudGwgy,Rr4bjc79Exdc,ZdLx9hwnjpgD,75.5,26.88
7PK4NRV2nhjw,ii8N1s7yzFym,lTpUZrtW5FYQ,148.5,15.64
Ss9iY5xxCC5S,4VIws8ixtz0J,8cMMpAAFEsxE,144.97,23.57
FhbdaS77ToDk,p9owG1LeMQyo,8nCo4Zb12mDs,48.65,40.27
ZgJAIFrZP7wi,wdV7yJzaz3Su,coi9xkdo66JI,22.3,36.96
DYDQgIcAmOCk,V538EPE0kKPC,yHsOFiqVrV1u,37.84,54.82
zhV4YwJcMaf6,DXG0TFaZjGHO,V8Stg8HdXCTe,403.9,21.98
KWuqSsip5IPL,Biwi1BNtUB7l,r7VxefoTVHbb,509.99,6.15
u6wIOFvJPMJx,diXfR20Ry7N3,bl8PTwqK0kvN,42.89,15.67
wILgQcnuMP8h,xd1uzxed845G,EGW4UK5bOeEZ,41.58,38.7
cHueggO8i50e,DwqOXp6wWYBc,zpQceiYC8hxu,599.39,20.9
gwGItwZIp6b9,Cjq4di8arIUK,P2nCHWuo0HC0,28.6,23.07
52dDBTqijGgS,i3RR3rlzZnM1,KJSPZgE59agU,172.13,70.56
QfmncxTUYMeM,vMNkrbsMMk0s,vxQT8FlJeDdN,623.0,30.66
t4Bk5mYUoL8U,9SSBohAQrOts,eVS6MuExSoto,72.4,26.14
RAwGupGDXwd5,gero47msJAuH,T5TAziawiIyq,12.35,13.58
YTg0u33hKRJZ,cRgyR7JbPIOp,2Vzr14MB7bRD,692.0,34.79
4lSWIJZYPkdj,EG4wDSpFyTth,TuPm19CMKvrM,58.1,321.46
XVYh21794I2q,h0c562VfTzH1,9fFFM6RBxCkT,45.83,33.9
T02ERQXo0cHk,m9lIuV6TOthi,ItYhqrkUww7D,72.48,26.02
