order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date
INolFarYfmEO,QU7yWUgfIpJX,delivered,2018-06-30 21:08:36,2018-06-30 21:30:06,2018-07-11 17:56:33,2018-08-03
LV0vJIDricq1,rgjb3WchpjHg,delivered,2017-11-05 19:14:22,2017-11-07 07:30:35,2017-11-17 20:32:53,2017-11-29
VtQvdStc00Xd,JyHhNu9cbCo1,delivered,2017-03-07 19:19:19,2017-03-08 03:05:17,2017-03-21 10:41:53,2017-04-03
tOTdnjpI8Udp,Jw0zo2CWiEs7,delivered,2018-07-10 12:15:42,2018-07-10 12:30:21,2018-07-15 16:13:38,2018-07-18
ebR5efLCCpiq,MXiUFyGLUs2Z,delivered,2018-02-03 17:08:22,2018-02-03 17:30:03,2018-03-06 07:14:36,2018-03-13
YOKYMSjKRCMN,oiBrZODbJTvz,delivered,2018-04-10 08:42:53,2018-04-10 08:55:33,2018-04-20 10:59:02,2018-05-02
57XZHymoJ10l,mcuPjOLRkNpR,delivered,2017-09-05 13:32:39,2017-09-05 13:50:10,2017-09-13 16:54:10,2017-09-29
yUz40ih0jYGt,yOjH9Exn64WQ,delivered,2018-03-15 15:20:17,2018-03-15 15:35:35,2018-03-24 15:34:51,2018-03-27
IeZYtitws7WU,yca6TkmY4yQm,delivered,2017-05-16 09:23:23,2017-05-16 09:35:15,2017-05-31 08:38:03,2017-06-07
ZPkh9QhjG7SK,LooHWGt3K5gp,delivered,2017-08-05 18:13:21,2017-08-08 03:55:47,2017-08-17 17:05:57,2017-08-25
KJL5uJuZzKxr,oZqYD7eyV1EJ,delivered,2018-07-17 15:21:10,2018-07-18 03:01:44,2018-08-20 12:08:32,2018-08-14
SelY2hgVvruM,0hj86xqZbYSV,delivered,2017-05-05 17:23:59,2017-05-06 06:35:18,2017-05-25 16:30:12,2017-06-05
0QqNX4xLriht,l2wCGNSY1l3Z,delivered,2017-05-15 19:39:50,2017-05-15 19:55:17,2017-05-22 12:25:54,2017-06-02
HNXQI2lmI4AR,ukZ709Rl8bdF,delivered,2017-09-05 14:56:58,2017-09-07 02:44:07,2017-09-14 20:05:01,2017-09-18
C21fWds5zL0W,iFsAJRrzVaTS,shipped,2017-02-04 12:58:55,2017-02-04 13:10:38,,2017-03-15
00NEIdaOTIgn,tSG89uyaK6MS,delivered,2018-05-07 22:34:11,2018-05-07 22:52:41,2018-05-11 22:48:43,2018-05-21
XprtHqpLEddw,Ex7BhwPvrGyQ,delivered,2017-06-08 20:25:53,2017-06-09 20:30:15,2017-06-28 13:17:43,2017-07-11
ph9ImXx6aMjl,f4Frm4WEvj1g,delivered,2017-08-16 22:58:04,2017-08-17 00:50:11,2017-08-26 15:35:39,2017-09-05
x0fzGpICAZ0w,ORO4ADUB1jHd,delivered,2018-04-27 23:54:06,2018-04-28 00:10:51,2018-05-02 17:32:25,2018-05-14
YUX432Je58GK,jQ0u9oBPe3Mg,delivered,2018-07-25 09:02:36,2018-07-25 09:15:13,2018-07-30 10:49:54,2018-08-02
C3u0OwYQ8nuP,0I8vL0BlM1p1,delivered,2017-03-20 21:35:37,2017-03-20 21:35:37,2017-03-24 12:17:55,2017-04-10
UaZKqhLFwRZP,JtX09eqY5lk3,delivered,2018-03-27 17:27:57,2018-03-27 17:48:39,2018-03-31 16:12:11,2018-04-09
QOaNjVewOOTX,sk3z82bQhZAO,delivered,2018-05-07 15:39:24,2018-05-07 17:30:00,2018-05-29 14:28:53,2018-05-30
lo8oje94TYb7,eSqRKROmKF9Y,delivered,2018-08-13 14:07:50,2018-08-15 03:15:09,2018-08-24 00:14:39,2018-09-05
O5bLel2qV1yT,SNzA2roBQaGK,delivered,2018-08-01 13:21:58,2018-08-01 13:35:09,2018-08-15 20:31:53,2018-08-09
3ffaVBUrnCxy,IGPOK4wVaGbv,delivered,2018-03-17 10:31:47,2018-03-17 10:50:31,2018-03-28 17:03:47,2018-04-05
8g4jF6hPD6tG,45WzrefbE0kB,delivered,2017-06-07 20:06:06,2017-06-07 20:22:27,2017-06-16 18:25:40,2017-06-21
IBT786JmVIAa,dGD1MVag3snm,delivered,2018-03-10 11:18:28,2018-03-10 11:48:16,2018-03-16 20:27:34,2018-03-22
Rd6Tke4v8afv,EI8c9beFpTSQ,delivered,2018-03-02 09:15:34,2018-03-02 09:29:48,2018-04-05 17:41:42,2018-03-28
NnoGZNF5rNkD,YanexVtkhb2B,delivered,2017-11-17 19:41:48,2017-11-18 02:35:30,2017-12-02 18:38:16,2017-12-05
gZMKyNzWXvcQ,iaDXrhsLGSc6,delivered,2017-11-27 13:49:33,2017-11-27 13:56:37,2017-12-18 20:08:13,2017-12-21
qcDbJ8F0FIjM,hWGGX7sEla9R,delivered,2018-05-08 19:38:58,2018-05-08 20:54:55,2018-05-14 20:36:55,2018-05-21
hyJjgFRI44lc,MNcdWG4E5iDb,delivered,2018-04-05 11:22:54,2018-04-07 02:48:13,2018-04-13 00:50:52,2018-04-25
EfyYNfniuxQP,7mxdMPX1ERJj,delivered,2017-09-08 12:55:46,2017-09-08 13:05:18,2017-09-15 21:55:41,2017-10-02
0MQGlO2eQrNG,JJe2PPwxISzG,delivered,2018-01-08 11:23:52,2018-01-08 11:35:30,2018-01-18 20:58:50,2018-01-31
zb8Qfa2K9ynp,cnalXbv8lRur,delivered,2017-03-30 21:59:17,2017-04-04 05:45:23,2017-04-13 16:57:42,2017-04-25
LLWFihCYlP6a,Vpl3DrXMAEhb,delivered,2018-04-11 20:48:46,2018-04-11 21:09:42,2018-04-18 21:50:59,2018-05-04
PBvPGqQxwFDV,cWwtMYBNlwy1,delivered,2018-08-08 18:52:43,2018-08-08 19:05:10,2018-08-20 13:43:44,2018-09-20
OQHE8Ve7n811,bEh2OYyGVzcI,delivered,2017-08-30 10:56:22,2017-08-30 11:10:15,2017-09-08 17:33:00,2017-09-21
Vtkwb0b4JxKg,3JeAegsqlpZ1,delivered,2018-05-18 18:52:53,2018-05-22 08:56:53,2018-06-04 21:16:48,2018-06-07
4qLswBjaDZnT,6gl6qALuNSUL,delivered,2018-02-05 09:06:12,2018-02-07 02:52:32,2018-03-22 19:18:52,2018-03-06
XXzZNogGt47r,rAV7gKaOWkEy,delivered,2018-06-10 20:29:24,2018-06-10 20:57:48,2018-06-13 16:03:33,2018-06-29
Pp9bMvTIgPDs,CiOHqzRk5bbt,delivered,2018-02-15 09:19:26,2018-02-16 09:35:27,2018-03-12 17:19:32,2018-03-12
zh6skhlWLDTv,tIPFV5qJBgvT,delivered,2018-03-06 22:09:24,2018-03-06 22:28:48,2018-03-14 23:46:30,2018-03-22
z9Zr742C0ASe,yD2x7GOSsjqA,delivered,2018-04-29 11:36:05,2018-04-29 11:52:06,2018-05-10 21:04:37,2018-05-25
AayA35wXEdbB,a9gFQyCfrVym,delivered,2017-09-11 17:35:25,2017-09-11 18:04:33,2017-10-05 20:43:40,2017-10-11
kuyUMcYHFGqn,dXsploeBzop3,delivered,2018-07-29 12:47:00,2018-08-01 16:31:40,2018-08-03 18:20:55,2018-08-10
efc3TQanhsCE,9tQzKeNKhIoQ,delivered,2017-05-07 13:59:55,2017-05-07 14:10:14,2017-05-16 13:58:56,2017-05-31
vFUriN4pz2Bi,TLYzpBJ3Cbnv,delivered,2017-09-04 14:25:41,2017-09-04 14:43:50,2017-09-12 23:54:52,2017-09-21
1CVQ66HlMRUR,J2bElQYq3gEQ,delivered,2017-06-23 13:56:25,2017-06-27 03:55:21,2017-06-28 12:06:11,2017-07-13
jJgDALmwe6f6,lFEdYUjKo6tu,delivered,2017-05-05 08:44:58,2017-05-06 02:15:58,2017-05-15 11:38:04,2017-05-30
n8p0M8Vco4SQ,8tpStNEuJ43p,delivered,2017-04-10 23:29:46,2017-04-10 23:42:09,2017-04-20 12:03:14,2017-05-15
pNSYSUcXxkhB,qvo2fc2aRUvp,delivered,2017-06-04 12:09:59,2017-06-04 13:02:01,2017-06-13 17:13:52,2017-06-20
9AWAHq3HWS6u,pk1Ke0Nxac36,delivered,2017-08-08 13:37:37,2017-08-08 13:50:13,2017-08-11 20:11:04,2017-08-23
DlmtCXqKjfWj,UlqYPqEYgETA,delivered,2018-07-03 11:11:29,2018-07-05 16:27:45,2018-07-09 17:06:38,2018-07-27
KqH0sXMHdItQ,M7wmpVTfmiFp,delivered,2017-07-18 20:52:33,2017-07-18 21:05:14,2017-07-24 17:56:30,2017-08-07
OiIetUyiPLHG,4YfVSBGWPVdv,delivered,2018-06-28 00:43:34,2018-06-28 01:11:21,2018-06-29 20:52:48,2018-07-12
1pgvtCG93rNg,pqIfz7jRxaKh,delivered,2017-12-13 23:56:00,2017-12-15 23:51:44,2017-12-26 18:29:42,2018-01-09
qJHIiWyTAizV,5XGKxFrzDdYP,delivered,2017-04-27 00:12:04,2017-04-27 01:15:14,2017-05-09 09:55:03,2017-05-26
vSug5AqRo9gE,oWBBqGwqpx4m,shipped,2017-05-07 10:22:58,2017-05-09 09:35:20,,2017-06-12
cuAQQZUhTEwb,EeCs1w6JNdPU,delivered,2017-04-06 11:53:43,2017-04-06 13:05:26,2017-05-02 11:47:48,2017-05-10
yYk586LcCRYw,hgHQgpZ9rVHu,delivered,2018-03-11 14:54:08,2018-03-11 15:27:59,2018-03-23 19:23:02,2018-04-02
2HQ26ShSPhCA,uvuFFZDOAlU7,canceled,2017-07-29 12:56:17,2017-07-29 13:05:18,,2017-08-18
iWJeaLiduq7C,bVaqeOVzrNj1,delivered,2018-08-09 08:16:06,2018-08-10 08:10:16,2018-08-15 19:42:35,2018-09-10
1vz8w7BjKsWC,EZkjVsEKMQF0,delivered,2018-07-09 21:31:15,2018-07-09 21:45:13,2018-07-13 20:51:09,2018-07-24
h8KEpd8n4gLL,LkYwWbX35V3p,delivered,2017-11-27 11:05:38,2017-11-27 11:15:03,2018-01-22 13:56:53,2017-12-19
PC71lF6z451l,paCiJAGDh54D,delivered,2018-06-20 12:30:41,2018-06-22 04:36:05,2018-06-26 22:38:34,2018-07-03
TySAT9hqufKc,wuCRBXrAQIyN,delivered,2018-05-10 20:41:16,2018-05-10 20:57:56,2018-05-21 19:16:30,2018-05-30
Y72RuFd0mZnO,jsuJ85mr7Rlb,delivered,2017-12-13 23:06:19,2017-12-13 23:15:33,2017-12-18 16:43:44,2018-01-05
JQnDQBQZYwWs,7qqTmdyVGDMP,delivered,2018-03-15 22:03:50,2018-03-15 22:15:51,2018-03-20 21:58:43,2018-03-28
qcXjhr3DZYmI,ebCRKHmjYa2q,delivered,2018-02-22 12:04:32,2018-02-22 12:29:22,2018-04-02 23:26:57,2018-03-20
3SQKKPbTrStx,ap5gXjoc79ju,delivered,2018-01-26 17:33:03,2018-01-26 18:00:34,2018-02-01 20:29:26,2018-02-09
IKSlI8m4cXvg,63cb18M1Z31w,delivered,2018-08-07 16:45:43,2018-08-07 17:05:05,2018-08-10 19:58:43,2018-08-27
ubzoVELLkeoU,cIIcBGeYxzLl,delivered,2017-11-24 21:08:14,2017-11-25 00:16:29,2017-12-22 21:40:03,2017-12-21
FfjA9YfQ045p,asn6Y9BiG6Ma,delivered,2017-01-05 14:18:03,2017-01-07 03:44:16,2017-01-17 16:47:45,2017-02-13
pHtHYRoip8Cl,MdXOdiX1GYJB,delivered,2017-11-27 21:29:49,2017-11-30 17:31:14,2017-12-09 15:27:09,2017-12-22
yGQcdep9edOe,DFT8eetndqim,delivered,2018-03-19 07:49:47,2018-03-20 07:08:04,2018-03-26 17:28:33,2018-04-05
O2vxSz1Ohmit,pfARTA1RWJhn,delivered,2018-06-18 08:14:02,2018-06-19 03:36:38,2018-06-29 15:12:38,2018-07-17
CEHnEFl5VOdj,G7fLaaLEAieo,delivered,2018-01-17 18:54:36,2018-01-17 19:10:35,2018-02-21 00:39:10,2018-02-14
JYzOn3Ha1rNQ,VOohNhPUdkDS,delivered,2018-04-22 12:13:25,2018-04-24 17:24:48,2018-05-02 20:38:44,2018-05-14
YjpdVhpi6ke5,dvl5K6eo1ouv,delivered,2018-04-20 09:01:16,2018-04-24 18:35:57,2018-04-25 01:30:59,2018-05-07
xmCgQrZviQ4N,Nxs89iJKBJ8Z,delivered,2018-07-22 17:47:27,2018-07-23 12:32:17,2018-07-26 16:21:16,2018-07-31
DWf9VC5hYd07,fo2DhPj0geOU,delivered,2017-08-02 13:06:10,2017-08-02 13:23:15,2017-09-19 15:00:51,2017-08-25
gMRkjz3CrUnd,ufG7Q9l2g5Dn,delivered,2017-09-19 19:46:11,2017-09-19 20:04:05,2017-09-29 20:49:52,2017-10-05
1sBsJeYdxAI1,uJZ6s76zSxtN,delivered,2017-07-18 17:17:37,2017-07-18 17:25:16,2017-07-26 15:52:12,2017-08-09
6NKIoWu3AOZS,gngo3QnJVUXB,delivered,2018-04-02 12:12:56,2018-04-02 12:28:37,2018-04-04 18:13:46,2018-04-26
fQ58lYglAHz2,HtPYXtaKFzex,delivered,2017-06-16 10:33:12,2017-06-17 10:25:15,2017-06-21 18:06:29,2017-06-29
0Eab4qSWCSyh,xIjzSNbQQ1uw,delivered,2018-01-15 12:22:25,2018-01-15 12:34:24,2018-01-18 16:09:03,2018-01-30
RCsCygUAyk50,3qJ5VThdsczu,delivered,2017-09-15 07:39:51,2017-09-15 07:50:08,2017-09-20 22:03:52,2017-10-03
POj27FIujdqj,lZCaJq9iYKt0,delivered,2018-06-14 21:18:25,2018-06-14 21:36:55,2018-06-20 20:58:36,2018-07-05
lTxzZyJHvbIZ,ncBjZzosb18g,delivered,2017-11-23 11:42:07,2017-11-25 03:32:48,2017-12-16 17:58:49,2017-12-21
PbW1A2IELHIL,E1CIwdUAL7mV,delivered,2018-07-19 19:17:20,2018-07-19 19:50:08,2018-07-30 16:54:44,2018-08-16
RYBegQzM81NV,QsVvy2vjoqJ2,delivered,2017-07-13 14:39:29,2017-07-14 02:24:20,2017-07-31 18:25:47,2017-08-14
uIMjdIbbLKuf,eWPTvp2Uxgjr,delivered,2018-04-12 21:25:16,2018-04-13 13:29:47,2018-04-28 19:56:29,2018-05-03
jj4qFCWCsUSC,SDjEL1DMM89j,delivered,2017-08-11 15:52:07,2017-08-12 02:55:08,2017-08-23 11:58:17,2017-08-31
JBctb1NlmsLO,A5ypt74Dm5ED,delivered,2017-11-25 23:56:26,2017-11-27 23:50:00,2017-12-15 04:22:46,2017-12-27
V98wyh8HaJrC,M8toooCMGG65,delivered,2017-03-26 14:07:21,2017-03-26 14:15:20,2017-04-03 13:15:36,2017-04-24
F7SlozxlB98i,YeToIjRZbK1b,delivered,2018-04-15 23:10:48,2018-04-15 23:32:29,2018-04-21 00:08:30,2018-05-09
M9UeVfUqd5IQ,zwFtWWaE2Ja8,delivered,2017-11-30 09:06:04,2017-11-30 09:15:33,2017-12-27 14:18:10,2018-01-05
XfRzUdQ4vXDb,Yu7y0eUjrMjF,delivered,2017-10-15 04:15:02,2017-10-15 04:28:11,2017-10-23 14:37:33,2017-10-26
KZdbnccspG6C,tvBnqB57rQrh,delivered,2017-08-12 22:00:15,2017-08-12 22:15:13,2017-08-17 20:47:36,2017-09-05
aK8BUDSAUnAJ,EmOTT0NimdgC,delivered,2017-08-25 23:51:38,2017-08-26 00:05:55,2017-09-04 19:09:41,2017-09-19
hdpKYesvGZeq,3QWW2QATQoks,delivered,2018-08-10 15:08:54,2018-08-11 02:50:24,2018-08-31 23:58:27,2018-08-16
5jALvFXzAkdi,9U87V4FA6owh,delivered,2018-02-27 11:06:32,2018-02-27 11:15:32,2018-03-21 22:38:25,2018-03-21
RilBPuEjhaeQ,LGiyKX8bqvRl,delivered,2017-05-08 12:15:17,2017-05-08 13:03:08,2017-05-19 13:37:46,2017-05-31
Weun8cqlOfrB,JG5L1Y6huM3k,delivered,2017-07-22 07:12:13,2017-07-25 03:35:25,2017-08-03 18:17:48,2017-08-15
1By8LOosrvF2,grsbZ5L1H5ty,canceled,2017-11-06 15:47:20,2017-11-07 07:30:29,,2017-11-28
8XJCljLJRlic,ZLVSgLGIBt50,delivered,2018-01-10 19:02:16,2018-01-10 19:13:28,2018-01-22 23:28:34,2018-02-02
gQPaVIZUm0jj,LFLEYmt3mGzI,shipped,2017-10-20 19:51:41,2017-10-20 20:05:36,,2017-11-13
k2K9LcU3wvcQ,26bdBz0weg9K,delivered,2018-02-21 18:47:50,2018-02-21 18:55:31,2018-02-26 21:28:51,2018-03-07
XQuhwBeGcadT,iWDrWao0rL2O,delivered,2018-04-03 16:00:49,2018-04-05 02:10:26,2018-04-11 18:28:33,2018-04-25
LARRQkCjz5Fs,6rX0opAYaf5O,delivered,2017-12-16 13:51:18,2017-12-16 13:58:23,2017-12-23 16:21:44,2018-01-05
70G4cTVwm38h,WnCydkx96ul3,canceled,2018-07-04 16:05:56,2018-07-06 02:55:16,,2018-08-22
8LfYKHvDTqIN,frNd2yIHhY1X,delivered,2017-10-23 20:31:45,2017-10-23 20:49:13,2017-11-07 01:09:03,2017-11-24
D2X7rxN9EsBw,5aMM3LwvZE6p,delivered,2018-07-11 19:55:14,2018-07-11 20:10:12,2018-07-21 10:41:27,2018-08-01
HOFJukOFU41j,5nowe7IWIlDi,delivered,2018-04-15 10:17:36,2018-04-15 10:30:53,2018-04-18 14:52:02,2018-04-30
uApWp6b4k8Y5,nOJb8kxjeqMu,delivered,2018-07-03 18:41:20,2018-07-05 16:10:30,2018-07-11 18:18:38,2018-07-30
7L8qUUgsbhXY,qVYMpdAeuyNn,delivered,2018-07-24 18:36:55,2018-07-24 18:45:13,2018-07-26 15:38:49,2018-08-01
PvRgo7CeEN4f,9QRPPukPDKtj,delivered,2018-03-21 15:05:19,2018-03-21 15:16:13,2018-04-04 14:42:50,2018-04-09
aDxB5SgA7C4q,ejNZQ7X7x2T3,canceled,2018-02-05 16:30:33,2018-02-05 16:52:11,,2018-03-12
AHI2VGgmwKwA,Aecwfm7Hmsal,delivered,2018-06-18 11:15:23,2018-06-19 03:36:54,2018-06-22 18:53:47,2018-07-05
0gxtU32XLhDR,tc4f86hhYwpB,delivered,2018-05-08 21:04:24,2018-05-08 21:15:28,2018-05-21 20:48:51,2018-05-29
NqkFWmoEkOni,u1gplSGJr1m5,delivered,2018-08-16 10:02:10,2018-08-16 10:15:17,2018-08-24 19:22:01,2018-09-11
uT2NLXe4uIbX,JOJJwXBnFMcH,delivered,2017-12-11 09:46:54,2017-12-11 09:54:23,2018-01-05 20:49:30,2018-01-09
csNKQHT4LjSP,txfGakDnlUkr,delivered,2018-07-25 17:37:28,2018-07-27 02:24:17,2018-08-14 23:41:17,2018-08-21
ff6LV2J7cd1m,Hv2CJ4UgONx7,delivered,2018-07-25 16:12:07,2018-07-27 02:24:26,2018-07-30 17:57:35,2018-08-02
2DhVqmEuKWsy,aptoeeHlIxbP,delivered,2018-07-02 16:31:06,2018-07-02 16:50:20,2018-07-06 18:36:26,2018-07-27
VBLoTukvL7qH,Df666drgmPfx,delivered,2018-08-06 18:16:20,2018-08-06 18:30:20,2018-08-10 19:21:51,2018-08-14
Xz9xN4y9ehaz,DRJMerHUON15,delivered,2017-06-15 22:49:09,2017-06-17 03:42:30,2017-07-03 11:33:41,2017-07-19
ME2UeeIZeHQQ,7oijac5SpbW5,delivered,2017-09-01 18:32:18,2017-09-01 22:25:51,2017-09-11 22:41:58,2017-09-26
Y8qzXFVs2NdT,N9TistbY5amC,delivered,2018-04-09 13:11:55,2018-04-09 13:29:45,2018-04-11 18:46:31,2018-04-25
O9usX12ihwJ4,CWALhpNIASHI,delivered,2018-02-01 14:02:19,2018-02-03 02:53:07,2018-02-14 13:41:59,2018-02-23
UnPOaR1OCnNc,jnoKHCWQzJID,delivered,2017-07-12 13:15:37,2017-07-12 14:03:38,2017-07-18 22:44:52,2017-08-01
BERp5cg4oEws,eKhyaqjCe7PA,delivered,2017-11-25 09:20:17,2017-11-25 09:33:47,2017-12-04 22:18:52,2017-12-19
BtFtgxewQU3o,0XrxfhxhjXYE,delivered,2018-05-13 12:09:17,2018-05-13 12:32:32,2018-05-18 21:27:56,2018-06-18
KZQpsmctCSfS,yBX7ugjJOTSS,processing,2018-02-04 14:21:50,2018-02-04 14:35:32,,2018-03-07
g9qI3z1YAvNw,oCaEiLxD6fHF,delivered,2018-04-17 20:21:28,2018-04-18 20:15:16,2018-04-26 00:40:52,2018-05-09
aMzeNC1KCVOQ,I94cAhDO80TM,delivered,2018-08-01 17:03:52,2018-08-01 17:15:24,2018-08-03 20:18:48,2018-08-06
dZuZBawSN57o,nyVwdmiDhhG6,delivered,2018-08-19 16:28:17,2018-08-20 12:30:07,2018-08-29 01:05:28,2018-09-04
nKbHlRgVGlF3,uQoGZ4NfZUsh,delivered,2018-04-29 15:18:48,2018-04-29 15:34:52,2018-05-08 16:23:35,2018-05-22
P09ArFA0BZRP,5dFJ3hGKYymc,delivered,2017-07-11 14:08:34,2017-07-12 02:10:22,2017-07-26 17:17:49,2017-08-02
XbYUfEsyagnN,fvrCaNELssNc,delivered,2017-06-06 12:23:28,2017-06-06 13:25:33,2017-06-09 15:17:56,2017-06-27
mofZTSTPPWxE,g0UqYq0z41XR,delivered,2017-09-14 13:24:48,2017-09-14 13:37:05,2017-09-25 18:54:37,2017-10-03
rUQbmLj5M2QE,VBhPvelXEBtq,delivered,2017-05-17 04:26:46,2017-05-18 04:35:12,2017-06-02 08:32:45,2017-07-03
QFwMop3sFZ9H,TSar8iKGBFdD,delivered,2017-11-28 18:13:19,2017-11-28 18:32:32,2017-12-20 18:39:00,2017-12-19
hYDthrOpadOc,YsC9HcNGEOnJ,delivered,2018-01-22 19:57:33,2018-01-22 20:16:13,2018-01-31 19:28:35,2018-02-21
TTBF9yOgN5EH,UXwfLujVOTVL,delivered,2017-04-02 15:08:45,2017-04-02 15:15:17,2017-04-11 12:15:57,2017-04-28
F9i3hpJUc5HJ,sllkB0XGYrxT,delivered,2017-12-05 20:25:59,2017-12-06 07:13:55,2017-12-17 13:57:07,2017-12-28
PzBniksLzOcM,OSFTagz8LUCX,delivered,2018-02-01 11:09:31,2018-02-02 02:53:38,2018-02-06 21:52:22,2018-02-19
UWss0GYyCTJq,IG0zdwpicn3n,delivered,2017-01-31 13:01:10,2017-01-31 13:15:08,2017-02-09 16:14:22,2017-03-03
9fJpRKgzGYmY,gvNtQarZgOr8,delivered,2017-07-20 12:11:33,2017-07-20 12:25:13,2017-08-09 19:46:41,2017-08-21
FyxzH1mhMBKM,YeOwwF3fdWgu,delivered,2018-08-01 22:58:06,2018-08-01 23:10:09,2018-08-09 14:34:58,2018-08-14
91fTReRt3k2s,HTmirdxNO6w3,delivered,2018-04-19 08:19:39,2018-04-19 08:30:25,2018-05-03 23:21:49,2018-05-16
4BKIy9ysy6d8,ROKLVaGH8de0,delivered,2018-07-09 16:08:36,2018-07-09 16:25:13,2018-07-11 19:37:43,2018-07-23
EztPEldn1Aha,vqxOoMq59uav,delivered,2018-01-14 10:14:35,2018-01-14 10:29:48,2018-01-31 15:04:08,2018-02-09
4WCFUeAivvDG,RoIfzwKM1yvo,delivered,2017-11-07 15:38:47,2017-11-07 15:50:35,2017-11-17 18:14:32,2017-11-28
3VPXNauA1hA6,E1orXI8bLrNV,delivered,2017-11-24 23:37:52,2017-11-25 01:37:20,2017-12-03 15:10:38,2017-12-14
jMFLFVfabNrH,FOHBkie5YOyT,delivered,2017-03-10 10:34:16,2017-03-10 10:34:16,2017-03-24 16:40:14,2017-04-20
PhYGGGCiQHKD,e2pbPEjaeR6m,delivered,2018-07-25 13:25:22,2018-07-25 13:35:17,2018-08-01 18:34:34,2018-08-22
